PC,explained_var,cumulative_var
1,0.2733,0.2733
2,0.1977,0.4709
3,0.1708,0.6417
4,0.1357,0.7774
5,0.1124,0.8898
6,0.0644,0.9542
7,0.0456,0.9998
8,0.0002,1.0
