feature,coef
Na,-0.00025746598534524156
Mg,8.283740289855529e-05
Al,-0.0008566003246885199
Si,-0.0012307707523333364
K,-0.0002729740512694614
Ca,0.0018988178794693712
Ba,0.000601697666099195
Fe,-1.922138818863874e-05
